iter	Logloss
0	0.6834398507
1	0.6741488956
2	0.6667715167
3	0.6577146527
4	0.6501060895
5	0.6423349288
6	0.6333623499
7	0.6242991203
8	0.6166870792
9	0.6092604969
10	0.6023397317
11	0.5946945721
12	0.5882100932
13	0.5804600455
14	0.5744246577
15	0.5674775156
16	0.5608976769
17	0.5537244346
18	0.547857576
19	0.5412713607
20	0.5347699978
21	0.5283485266
22	0.5222141674
23	0.5162810733
24	0.5104559512
25	0.5046158421
26	0.4996801702
27	0.4939530129
28	0.4878237755
29	0.4826728076
30	0.4768240839
31	0.4715611453
32	0.467376679
33	0.4632169286
34	0.4583329022
35	0.4539469762
36	0.4496040274
37	0.4455229595
38	0.4405184396
39	0.4358792233
40	0.431510149
41	0.4276845911
42	0.4232452599
43	0.4190666629
44	0.4149990663
45	0.4116920833
46	0.4074966633
47	0.4040785932
48	0.4004639577
49	0.3965452225
50	0.3931265415
51	0.3897508448
52	0.3864348275
53	0.3822561877
54	0.3789513977
55	0.3752209137
56	0.3711289623
57	0.3677171937
58	0.3655012261
59	0.3627477232
60	0.3592011162
61	0.3557637005
62	0.3532100546
63	0.3498591958
64	0.3466504188
65	0.3439235986
66	0.341318621
67	0.3382714261
68	0.3357849056
69	0.3338901012
70	0.3308287671
71	0.3277966437
72	0.3256144342
73	0.3229974598
74	0.3207504279
75	0.3181406493
76	0.3157658511
77	0.313929087
78	0.3123816339
79	0.3102817378
80	0.3078950839
81	0.3057646663
82	0.303683408
83	0.3011045676
84	0.2985005819
85	0.2961673163
86	0.2945502263
87	0.2927095631
88	0.2910109584
89	0.2893414343
90	0.2872766866
91	0.2856324938
92	0.2836488366
93	0.281346295
94	0.2800060985
95	0.278467302
96	0.2768785612
97	0.2751808504
98	0.2732822087
99	0.271845217
100	0.2696896784
101	0.2678652004
102	0.2660056553
103	0.2644013149
104	0.26310381
105	0.2613850194
106	0.2599811653
107	0.2587162658
108	0.257471595
109	0.2558178048
110	0.2544360911
111	0.2526792123
112	0.251573342
113	0.2497376795
114	0.24828756
115	0.2468455859
116	0.2454522094
117	0.2442140936
118	0.2429296333
119	0.2418494867
120	0.2404156799
121	0.2391656283
122	0.2375966233
123	0.2361836921
124	0.2347607754
125	0.2335554156
126	0.2323583214
127	0.2312503538
128	0.229977643
129	0.2290866926
130	0.2278423411
131	0.226766461
132	0.2260342494
133	0.2248794113
134	0.2238484361
135	0.2229723013
136	0.2217516712
137	0.2205983124
138	0.2194557916
139	0.2182438667
140	0.2173210659
141	0.2161614164
142	0.2151101049
143	0.2141950592
144	0.2134717267
145	0.2125306745
146	0.2116791191
147	0.2105590035
148	0.2096198242
149	0.20885781
150	0.2079257774
151	0.2070358291
152	0.2063139218
153	0.2053103042
154	0.2043332139
155	0.2033701933
156	0.2025239062
157	0.2017260037
158	0.200590254
159	0.1998240373
160	0.1990572529
161	0.1980688003
162	0.1974401691
163	0.1966522839
164	0.195798277
165	0.195275485
166	0.1942802538
167	0.1934053237
168	0.1925297484
169	0.1917110741
170	0.1910616936
171	0.19033194
172	0.1896434748
173	0.1889825858
174	0.1882341479
175	0.1874826012
176	0.1869173568
177	0.1863473
178	0.1855688581
179	0.184921335
180	0.1842693182
181	0.1835509222
182	0.182903697
183	0.182442756
184	0.1817141167
185	0.1809932329
186	0.1801891542
187	0.1796220177
188	0.1792114609
189	0.1785283702
190	0.1779548764
191	0.1774630354
192	0.1768914439
193	0.1763332695
194	0.1758138765
195	0.1750804008
196	0.1746007489
197	0.1740675166
198	0.1735287829
199	0.173035489
200	0.172531562
201	0.171937327
202	0.1716231929
203	0.1711761009
204	0.1706990849
205	0.1700833186
206	0.1694294401
207	0.1688447091
208	0.1683609413
209	0.1676434428
210	0.1671704594
211	0.1665624683
212	0.16613743
213	0.165781737
214	0.1654103217
215	0.1649938093
216	0.1644157328
217	0.1638368344
218	0.1634185902
219	0.1630475261
220	0.1626797629
221	0.1623673308
222	0.1619090724
223	0.1613615068
224	0.1607875181
225	0.1603600439
226	0.1599514182
227	0.1595457633
228	0.159064842
229	0.1587197542
230	0.1583073949
231	0.1578692953
232	0.1575742765
233	0.1571226489
234	0.1565982413
235	0.1562776656
236	0.1558046134
237	0.1554195345
238	0.1550908764
239	0.1548585066
240	0.1545319741
241	0.1541276102
242	0.1536583391
243	0.153146667
244	0.1527072427
245	0.1522598681
246	0.1518952558
247	0.1514934652
248	0.1511211263
249	0.1506963749
250	0.1502758326
251	0.149664222
252	0.1492481406
253	0.1488344474
254	0.1484180315
255	0.1481019865
256	0.1478430715
257	0.1475124099
258	0.1472131915
259	0.1468436494
260	0.1465540428
261	0.1461984358
262	0.1458662195
263	0.1455626343
264	0.1452821677
265	0.1449605119
266	0.1446037987
267	0.1443524696
268	0.1440409607
269	0.1436557911
270	0.1432204645
271	0.1428127929
272	0.1425245553
273	0.1421102066
274	0.1419117067
275	0.1415200242
276	0.1412192728
277	0.1409722488
278	0.1406689626
279	0.1404630493
280	0.1402008535
281	0.1398691524
282	0.1396299958
283	0.1394272936
284	0.1391587384
285	0.13887157
286	0.1385768819
287	0.1382890744
288	0.1380070106
289	0.1375783391
290	0.1373376832
291	0.1370177232
292	0.1368314298
293	0.1366485189
294	0.1363832383
295	0.1361983691
296	0.1359526824
297	0.1357094475
298	0.1354527259
299	0.1352113447
300	0.1349634339
301	0.1346516905
302	0.134403279
303	0.134046514
304	0.1336871255
305	0.1334108637
306	0.133135009
307	0.1328607883
308	0.1325787958
309	0.132349742
310	0.1321059099
311	0.1317151171
312	0.1313879613
313	0.1311096788
314	0.1308865274
315	0.1306324853
316	0.1303634024
317	0.1301121056
318	0.1299611317
319	0.1296833257
