iter	Passed	Remaining
0	69	68970
1	73	36661
2	78	26068
3	82	20652
4	85	16950
5	86	14390
6	88	12588
7	92	11413
8	93	10282
9	94	9380
10	96	8636
11	97	8009
12	98	7476
13	99	7016
14	100	6604
15	101	6246
16	102	5928
17	103	5668
18	104	5411
19	105	5182
20	108	5043
21	109	4858
22	110	4696
23	111	4534
24	112	4379
25	113	4237
26	114	4108
27	114	3985
28	115	3871
29	116	3767
30	117	3664
31	118	3570
32	118	3485
33	119	3402
34	120	3321
35	121	3250
36	124	3232
37	125	3183
38	126	3126
39	127	3067
40	128	3013
41	130	2969
42	131	2923
43	132	2873
44	133	2826
45	133	2778
46	134	2733
47	135	2690
48	136	2649
49	137	2612
50	138	2578
51	139	2545
52	140	2513
53	142	2488
54	143	2465
55	144	2438
56	146	2415
57	146	2384
58	147	2355
59	148	2325
60	149	2298
61	150	2271
62	151	2251
63	152	2233
64	153	2215
65	155	2193
66	155	2170
67	157	2164
68	158	2144
69	160	2127
70	160	2105
71	161	2084
72	162	2067
73	163	2047
74	164	2029
75	165	2010
76	166	2001
77	169	2005
78	171	1994
79	172	1986
80	173	1972
81	174	1956
82	175	1942
83	176	1927
84	177	1912
85	178	1897
86	179	1883
87	180	1868
88	181	1855
89	182	1841
90	183	1828
91	183	1815
92	185	1805
93	186	1799
94	187	1787
95	188	1775
96	189	1763
97	190	1752
98	192	1749
99	193	1738
100	194	1728
101	195	1717
102	196	1707
103	197	1700
104	198	1695
105	200	1690
106	202	1690
107	203	1682
108	204	1675
109	206	1667
110	207	1658
111	208	1651
112	209	1642
113	210	1633
114	211	1624
115	212	1615
116	213	1608
117	214	1601
118	215	1597
119	218	1603
120	220	1599
121	221	1595
122	222	1588
123	223	1581
124	224	1573
125	228	1585
126	230	1587
127	233	1588
128	234	1582
129	235	1576
130	236	1570
131	238	1566
132	239	1558
133	239	1551
134	240	1543
135	242	1539
136	243	1536
137	246	1536
138	247	1535
139	248	1528
140	249	1522
141	250	1515
142	251	1508
143	252	1501
144	253	1494
145	254	1488
146	255	1482
147	256	1475
148	257	1472
149	259	1470
150	261	1468
151	265	1481
152	267	1478
153	268	1475
154	269	1470
155	270	1464
156	272	1462
157	273	1459
158	275	1455
159	276	1452
160	279	1455
161	280	1450
162	281	1444
163	282	1438
164	283	1432
165	284	1427
166	284	1421
167	285	1415
168	287	1411
169	288	1408
170	290	1410
171	293	1411
172	294	1406
173	295	1401
174	296	1395
175	296	1390
176	297	1384
177	298	1379
178	299	1374
179	300	1368
180	303	1372
181	304	1368
182	305	1364
183	306	1359
184	307	1355
185	309	1352
